,x,y
0,104,-10
1,103.6000004,-9.97997998
2,103.2008024,-9.95995996
3,102.802406,-9.93993994
4,102.4048112,-9.91991992
5,102.008018,-9.8998999
6,101.6120264,-9.87987988
7,101.2168365,-9.85985986
8,100.8224481,-9.83983984
9,100.4288613,-9.81981982
10,100.0360761,-9.7997998
11,99.64409254,-9.77977978
12,99.25291057,-9.75975976
13,98.8625302,-9.73973974
14,98.47295143,-9.71971972
15,98.08417426,-9.6996997
16,97.6961987,-9.67967968
17,97.30902474,-9.65965966
18,96.92265238,-9.63963964
19,96.53708163,-9.61961962
20,96.15231247,-9.5995996
21,95.76834492,-9.57957958
22,95.38517897,-9.55955956
23,95.00281463,-9.53953954
24,94.62125188,-9.51951952
25,94.24049074,-9.499499499
26,93.8605312,-9.479479479
27,93.48137327,-9.459459459
28,93.10301693,-9.439439439
29,92.7254622,-9.419419419
30,92.34870907,-9.399399399
31,91.97275754,-9.379379379
32,91.59760762,-9.359359359
33,91.2232593,-9.339339339
34,90.84971258,-9.319319319
35,90.47696746,-9.299299299
36,90.10502394,-9.279279279
37,89.73388203,-9.259259259
38,89.36354172,-9.239239239
39,88.99400301,-9.219219219
40,88.62526591,-9.199199199
41,88.2573304,-9.179179179
42,87.8901965,-9.159159159
43,87.5238642,-9.139139139
44,87.15833351,-9.119119119
45,86.79360442,-9.099099099
46,86.42967692,-9.079079079
47,86.06655104,-9.059059059
48,85.70422675,-9.039039039
49,85.34270407,-9.019019019
50,84.98198298,-8.998998999
51,84.6220635,-8.978978979
52,84.26294563,-8.958958959
53,83.90462935,-8.938938939
54,83.54711468,-8.918918919
55,83.19040161,-8.898898899
56,82.83449015,-8.878878879
57,82.47938028,-8.858858859
58,82.12507202,-8.838838839
59,81.77156536,-8.818818819
60,81.4188603,-8.798798799
61,81.06695685,-8.778778779
62,80.71585499,-8.758758759
63,80.36555474,-8.738738739
64,80.0160561,-8.718718719
65,79.66735905,-8.698698699
66,79.31946361,-8.678678679
67,78.97236977,-8.658658659
68,78.62607753,-8.638638639
69,78.28058689,-8.618618619
70,77.93589786,-8.598598599
71,77.59201043,-8.578578579
72,77.2489246,-8.558558559
73,76.90664037,-8.538538539
74,76.56515775,-8.518518519
75,76.22447673,-8.498498498
76,75.88459731,-8.478478478
77,75.54551949,-8.458458458
78,75.20724328,-8.438438438
79,74.86976867,-8.418418418
80,74.53309566,-8.398398398
81,74.19722425,-8.378378378
82,73.86215445,-8.358358358
83,73.52788624,-8.338338338
84,73.19441964,-8.318318318
85,72.86175465,-8.298298298
86,72.52989125,-8.278278278
87,72.19882946,-8.258258258
88,71.86856927,-8.238238238
89,71.53911068,-8.218218218
90,71.2104537,-8.198198198
91,70.88259831,-8.178178178
92,70.55554453,-8.158158158
93,70.22929236,-8.138138138
94,69.90384178,-8.118118118
95,69.57919281,-8.098098098
96,69.25534544,-8.078078078
97,68.93229967,-8.058058058
98,68.6100555,-8.038038038
99,68.28861294,-8.018018018
100,67.96797198,-7.997997998
101,67.64813262,-7.977977978
102,67.32909486,-7.957957958
103,67.01085871,-7.937937938
104,66.69342415,-7.917917918
105,66.37679121,-7.897897898
106,66.06095986,-7.877877878
107,65.74593011,-7.857857858
108,65.43170197,-7.837837838
109,65.11827543,-7.817817818
110,64.8056505,-7.797797798
111,64.49382716,-7.777777778
112,64.18280543,-7.757757758
113,63.8725853,-7.737737738
114,63.56316677,-7.717717718
115,63.25454985,-7.697697698
